ID	GeneID	geneSymbol	chr	strand	IncLevel1	IncLevel2	PValue	event
643	ENSG00000075151.20_2	EIF4G3	chr1	-	NA,NA,NA,NA,0.0,NA,NA,NA,0.0,NA,NA,NA,NA	NA,0.0,NA,NA,NA,0.937,NA,NA,NA,NA	1	MXE
644	ENSG00000075151.20_2	EIF4G3	chr1	-	1.0,NA,NA,NA,0.0,NA,NA,1.0,0.0,NA,NA,NA,NA	NA,0.0,NA,NA,NA,0.0,NA,NA,NA,NA	1	MXE
645	ENSG00000075151.20_2	EIF4G3	chr1	-	1.0,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	1	MXE
646	ENSG00000075151.20_2	EIF4G3	chr1	-	1.0,1.0,NA,1.0,NA,1.0,NA,NA,1.0,NA,1.0,NA,NA	NA,0.436,NA,NA,0.0,1.0,1.0,1.0,1.0,NA	1	MXE
649	ENSG00000161010.14_2	C5orf45	chr5	-	NA,0.397,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA	1.0,1.0,NA,NA,NA,NA,NA,1.0,NA,NA	1	MXE
655	ENSG00000147050.14_2	KDM6A	chrX	+	0.0,NA,NA,NA,NA,NA,NA,NA,0.514,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA	1	MXE
657	ENSG00000214046.8_2	SMIM7	chr19	-	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA	NA,NA,NA,NA,NA,0.331,0.0,0.0,NA,NA	1	MXE
660	ENSG00000181315.10_2	ZNF322	chr6	-	NA,0.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA	NA,NA,NA,NA,NA,1.0,NA,NA,NA,0.0	1	MXE
661	ENSG00000138613.13_2	APH1B	chr15	+	NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,0.0,NA,NA,1.0	1	MXE
672	ENSG00000136279.19_2	DBNL	chr7	+	NA,0.0,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,1.0,NA,0.0,NA,NA	1	MXE
677	ENSG00000062485.18_2	CS	chr12	-	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055,NA	NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA	1	MXE
688	ENSG00000139620.12_2	KANSL2	chr12	-	NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA	NA,NA,NA,NA,1.0,NA,0.0,NA,NA,NA	1	MXE
689	ENSG00000139620.12_2	KANSL2	chr12	-	NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA	NA,NA,NA,NA,1.0,NA,0.0,NA,NA,NA	1	MXE
695	ENSG00000147099.19_1	HDAC8	chrX	-	0.0,1.0,NA,NA,NA,NA,1.0,NA,0.862,NA,NA,NA,NA	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA	1	MXE
711	ENSG00000076685.18_2	NT5C2	chr10	-	0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.462,NA	NA,0.0,NA,NA,NA,0.0,0.0,NA,NA,NA	1	MXE
712	ENSG00000076685.18_2	NT5C2	chr10	-	NA,0.574,NA,NA,1.0,NA,NA,1.0,NA,NA,1.0,0.614,NA	NA,1.0,NA,NA,NA,1.0,NA,NA,NA,NA	1	MXE
723	ENSG00000160201.11_2	U2AF1	chr21	-	NA,1.0,NA,NA,NA,NA,NA,NA,NA,1.0,NA,0.0,NA	0.0,NA,NA,NA,NA,NA,NA,1.0,NA,NA	1	MXE
727	ENSG00000091129.19_2	NRCAM	chr7	-	NA,1.0,1.0,0.0,NA,1.0,NA,NA,1.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,1.0,NA,1.0,NA,NA	1	MXE
730	ENSG00000135679.22_2	MDM2	chr12	+	NA,0.444,NA,NA,NA,0.165,NA,NA,NA,NA,NA,0.0,NA	NA,NA,NA,NA,1.0,0.0,0.0,NA,1.0,NA	1	MXE
738	ENSG00000164073.9_1	MFSD8	chr4	-	NA,NA,0.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA	1	MXE
739	ENSG00000182919.14_1	C11orf54	chr11	+	NA,0.028,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.0,NA	0.0,NA,NA,NA,NA,1.0,NA,NA,0.0,NA	1	MXE
740	ENSG00000130402.11_2	ACTN4	chr19	+	1.0,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,1.0,0.0,0.0,1.0,NA,NA	1	MXE
741	ENSG00000130402.11_2	ACTN4	chr19	+	0.0,0.0,0.0,NA,NA,NA,0.0,NA,NA,NA,NA,1.0,NA	NA,NA,NA,NA,NA,NA,0.158,NA,NA,NA	1	MXE
752	ENSG00000188243.12_1	COMMD6	chr13	-	0.0,NA,NA,NA,NA,0.0,0.0,NA,NA,NA,0.0,NA,NA	0.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,1.0	1	MXE
755	ENSG00000028203.17_1	VEZT	chr12	+	NA,0.88,NA,NA,0.0,0.0,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.0,NA,NA,0.0,NA	1	MXE
756	ENSG00000028203.17_1	VEZT	chr12	+	NA,1.0,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA	1	MXE
759	ENSG00000099968.17_1	BCL2L13	chr22	+	NA,0.793,NA,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,0.0,1.0,NA,0.0,NA,NA	1	MXE
768	ENSG00000080845.17_1	DLGAP4	chr20	+	1.0,0.0,NA,NA,NA,0.043,NA,NA,NA,NA,NA,NA,0.0	1.0,NA,NA,0.0,NA,NA,0.092,NA,NA,NA	1	MXE
770	ENSG00000119684.15_2	MLH3	chr14	-	NA,NA,NA,0.0,NA,NA,NA,NA,1.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	1	MXE
785	ENSG00000224078.12_2	SNHG14	chr15	+	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.0,NA,1.0,NA,NA	1	MXE
788	ENSG00000132471.11_2	WBP2	chr17	-	NA,0.824,NA,0.0,NA,NA,NA,NA,0.854,NA,1.0,0.0,NA	NA,1.0,NA,NA,NA,0.783,0.625,0.731,NA,0.0	1	MXE
791	ENSG00000054611.13_1	TBC1D22A	chr22	+	NA,NA,NA,1.0,NA,NA,NA,NA,1.0,0.0,0.0,NA,NA	1.0,0.0,NA,NA,NA,NA,1.0,NA,NA,0.0	1	MXE
796	ENSG00000179889.18_2	PDXDC1	chr16	+	NA,NA,NA,NA,NA,1.0,NA,NA,1.0,NA,1.0,0.0,NA	NA,NA,NA,NA,NA,NA,0.0,0.0,1.0,NA	1	MXE
802	ENSG00000174574.15_2	AKIRIN1	chr1	+	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,1.0	NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA	1	MXE
828	ENSG00000114416.17_1	FXR1	chr3	+	NA,0.0,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,0.0,NA	NA,NA,NA,NA,NA,0.0,NA,0.0,0.0,0.865	1	MXE
835	ENSG00000121749.15_2	TBC1D15	chr12	+	NA,0.51,NA,NA,NA,0.0,NA,1.0,1.0,1.0,NA,1.0,NA	NA,1.0,NA,NA,NA,1.0,NA,NA,NA,NA	1	MXE
836	ENSG00000103034.14_2	NDRG4	chr16	+	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,NA	NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	1	MXE
847	ENSG00000089157.15_2	RPLP0	chr12	-	0.0,0.0,NA,0.0,0.0,0.494,NA,0.0,0.826,0.336,0.307,0.0,0.0	0.0,NA,NA,1.0,NA,0.142,0.758,1.0,0.0,1.0	1	MXE
853	ENSG00000164062.12_2	APEH	chr3	+	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA	NA,NA,NA,NA,NA,0.144,1.0,NA,0.0,NA	1	MXE
867	ENSG00000131374.14_2	TBC1D5	chr3	-	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA	NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA	1	MXE
869	ENSG00000131374.14_2	TBC1D5	chr3	-	NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,1.0,NA,NA,0.0	1	MXE
871	ENSG00000170873.18_2	MTSS1	chr8	-	0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,1.0,0.0,NA,NA,0.0	1	MXE
887	ENSG00000064933.16_2	PMS1	chr2	+	NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,1.0,NA,NA	1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	1	MXE
890	ENSG00000196104.10_2	SPOCK3	chr4	-	NA,0.682,NA,0.0,0.0,NA,NA,0.0,0.0,0.0,1.0,1.0,NA	NA,NA,NA,NA,0.0,0.0,0.0,0.0,NA,0.354	1	MXE
895	ENSG00000143612.18_1	C1orf43	chr1	-	NA,0.0,NA,NA,NA,1.0,NA,0.0,NA,NA,NA,0.0,NA	NA,0.449,NA,NA,NA,0.325,0.0,NA,0.0,0.0	1	MXE
909	ENSG00000108094.14_1	CUL2	chr10	-	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	0.0,NA,NA,NA,1.0,1.0,0.0,0.0,NA,NA	1	MXE
910	ENSG00000037474.14_1	NSUN2	chr5	-	NA,0.0,NA,NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA	0.0,NA,NA,NA,NA,0.0,NA,NA,NA,NA	1	MXE
911	ENSG00000143797.11_1	MBOAT2	chr2	-	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	NA,1.0,NA,NA,NA,NA,1.0,NA,0.163,NA	1	MXE
912	ENSG00000105953.14_1	OGDH	chr7	+	1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA	NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA	1	MXE
916	ENSG00000064692.18_2	SNCAIP	chr5	+	NA,NA,NA,1.0,NA,1.0,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA	1	MXE
921	ENSG00000124788.17_2	ATXN1	chr6	-	0.0,0.452,NA,0.0,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA	NA,NA,NA,NA,NA,NA,0.0,NA,NA,0.0	1	MXE
924	ENSG00000135976.16_1	ANKRD36	chr2	+	NA,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA	0.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA	1	MXE
928	ENSG00000126822.16_2	PLEKHG3	chr14	+	NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.0,0.007,NA,NA,NA	1	MXE
931	ENSG00000078369.17_1	GNB1	chr1	-	0.157,0.609,NA,1.0,NA,NA,NA,NA,0.367,NA,1.0,0.0,NA	1.0,NA,NA,NA,NA,0.0,0.0,0.522,NA,1.0	1	MXE
933	ENSG00000165568.17_1	AKR1E2	chr10	+	NA,0.0,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,1.0,NA,NA,NA,NA	1	MXE
955	ENSG00000197971.14_2	MBP	chr18	-	NA,NA,NA,NA,NA,NA,1.0,NA,1.0,NA,NA,0.146,NA	NA,NA,NA,NA,0.342,NA,1.0,NA,NA,1.0	1	MXE
956	ENSG00000197971.14_2	MBP	chr18	-	NA,NA,NA,1.0,NA,NA,1.0,NA,1.0,NA,NA,0.043,NA	NA,1.0,NA,NA,0.0,1.0,1.0,NA,NA,1.0	1	MXE
961	ENSG00000051382.8_1	PIK3CB	chr3	-	NA,0.388,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,0.0	0.0,NA,NA,NA,NA,NA,0.887,NA,NA,NA	1	MXE
962	ENSG00000051382.8_1	PIK3CB	chr3	-	1.0,0.0,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,0.189,NA,NA,NA	1	MXE
967	ENSG00000167578.17_2	RAB4B	chr19	+	NA,NA,0.0,NA,NA,NA,NA,NA,0.498,0.0,0.0,NA,NA	NA,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA	1	MXE
972	ENSG00000140945.16_2	CDH13	chr16	+	1.0,0.767,NA,0.0,NA,NA,NA,1.0,NA,NA,0.0,NA,NA	1.0,NA,NA,NA,NA,0.0,0.176,NA,NA,NA	1	MXE
979	ENSG00000168397.16_2	ATG4B	chr2	+	NA,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,0.0,NA,NA	NA,0.0,NA,NA,NA,0.0,NA,1.0,0.0,1.0	1	MXE
986	ENSG00000129625.12_2	REEP5	chr5	-	NA,0.009,0.0,0.309,0.0,0.0,NA,0.0,0.224,NA,0.574,0.0,NA	0.0,0.493,NA,NA,NA,0.9,0.165,0.0,0.0,NA	1	MXE
994	ENSG00000139220.16_2	PPFIA2	chr12	-	1.0,1.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,1.0,NA,NA,NA,1.0,NA,NA,1.0,NA	1	MXE
995	ENSG00000225484.6_2	NUTM2B-AS1	chr10	-	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA	NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA	1	MXE
996	ENSG00000132676.15_2	DAP3	chr1	+	NA,0.813,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA	1	MXE
997	ENSG00000132676.15_2	DAP3	chr1	+	NA,NA,NA,1.0,NA,0.0,NA,NA,NA,NA,NA,0.0,NA	0.0,0.0,NA,NA,NA,NA,0.0,NA,0.0,NA	1	MXE
1000	ENSG00000120992.17_1	LYPLA1	chr8	-	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	1	MXE
1005	ENSG00000058272.16_2	PPP1R12A	chr12	-	NA,1.0,NA,1.0,0.018,NA,NA,NA,1.0,NA,0.0,0.0,NA	0.0,0.0,NA,NA,NA,0.154,1.0,0.0,1.0,NA	1	MXE
1007	ENSG00000149273.14_2	RPS3	chr11	+	NA,0.0,1.0,NA,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,NA	0.0,0.0,NA,0.0,NA,0.0,0.0,0.988,0.0,NA	1	MXE
1008	ENSG00000149273.14_2	RPS3	chr11	+	NA,0.615,1.0,NA,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,NA	0.0,0.0,NA,0.0,NA,0.0,0.0,0.984,0.0,NA	1	MXE
1010	ENSG00000100239.15_2	PPP6R2	chr22	+	1.0,0.734,NA,NA,NA,NA,NA,NA,1.0,NA,0.0,NA,NA	NA,NA,NA,NA,NA,NA,1.0,NA,NA,1.0	1	MXE
1017	ENSG00000257379.1_2	RP11-793H13.8	chr12	+	0.392,0.219,0.0,0.0,NA,1.0,NA,NA,0.0,0.0,0.706,0.403,NA	0.784,1.0,NA,NA,0.057,0.673,0.707,NA,0.913,0.0	1	MXE
1025	ENSG00000132639.12_2	SNAP25	chr20	+	0.625,0.258,0.0,0.0,0.0,0.005,NA,0.392,0.429,0.0,0.325,1.0,NA	0.553,0.126,NA,1.0,0.0,0.425,0.202,0.077,0.021,NA	1	MXE
1026	ENSG00000177479.19_1	ARIH2	chr3	+	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	1.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA	1	MXE
1027	ENSG00000177479.19_1	ARIH2	chr3	+	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	1.0,0.0,NA,NA,NA,NA,0.0,NA,NA,NA	1	MXE
1028	ENSG00000177479.19_1	ARIH2	chr3	+	NA,0.489,NA,0.0,NA,NA,NA,NA,NA,NA,0.0,NA,NA	1.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA	1	MXE
1029	ENSG00000177479.19_1	ARIH2	chr3	+	1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	1.0,NA,NA,NA,NA,1.0,0.0,NA,NA,NA	1	MXE
1030	ENSG00000177479.19_1	ARIH2	chr3	+	1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	1.0,0.0,NA,NA,NA,1.0,0.0,NA,NA,NA	1	MXE
1031	ENSG00000177479.19_1	ARIH2	chr3	+	1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	1.0,0.0,NA,NA,NA,1.0,0.0,NA,NA,NA	1	MXE
1057	ENSG00000130244.12_2	FAM98C	chr19	+	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,0.002,NA,0.0	NA,0.0,NA,NA,NA,1.0,0.436,NA,NA,NA	1	MXE
1060	ENSG00000204655.11_1	MOG	chr6	+	0.0,NA,0.0,NA,NA,NA,0.0,NA,1.0,NA,0.002,1.0,NA	NA,NA,NA,NA,0.0,0.832,0.288,NA,NA,0.6	1	MXE
1073	ENSG00000175662.17_1	TOM1L2	chr17	-	NA,0.298,1.0,NA,1.0,0.0,NA,NA,0.0,NA,0.809,1.0,NA	1.0,NA,NA,NA,NA,0.514,0.0,NA,NA,0.249	1	MXE
1074	ENSG00000175662.17_1	TOM1L2	chr17	-	NA,0.538,1.0,NA,NA,0.509,NA,NA,0.0,NA,0.994,NA,NA	NA,NA,NA,NA,NA,0.834,1.0,0.0,NA,0.0	1	MXE
1076	ENSG00000175662.17_1	TOM1L2	chr17	-	NA,0.421,0.617,NA,NA,0.433,NA,0.0,0.0,NA,0.829,NA,NA	NA,NA,NA,NA,NA,0.404,1.0,NA,0.0,NA	1	MXE
1078	ENSG00000135912.10_2	TTLL4	chr2	+	NA,NA,0.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	NA,0.0,NA,NA,0.0,NA,NA,NA,1.0,NA	1	MXE
1084	ENSG00000177879.14_1	AP3S1	chr5	+	NA,1.0,NA,0.936,NA,1.0,NA,NA,NA,NA,NA,1.0,NA	NA,NA,NA,NA,NA,0.0,0.0,NA,NA,NA	1	MXE
1087	ENSG00000112339.14_2	HBS1L	chr6	-	NA,0.16,NA,NA,0.0,NA,NA,NA,NA,NA,1.0,NA,NA	0.0,NA,NA,NA,NA,1.0,NA,NA,NA,NA	1	MXE
1106	ENSG00000089169.14_2	RPH3A	chr12	+	NA,0.0,NA,NA,NA,0.0,NA,NA,NA,NA,0.0,1.0,NA	NA,0.0,NA,NA,NA,0.0,NA,0.0,NA,NA	1	MXE
1109	ENSG00000155511.17_1	GRIA1	chr5	+	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA	NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA	1	MXE
1110	ENSG00000122490.18_1	PQLC1	chr18	-	NA,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,0.027,NA,NA	NA,NA,NA,NA,NA,0.321,0.277,NA,NA,NA	1	MXE
1111	ENSG00000175581.13_2	MRPL48	chr11	+	NA,NA,0.0,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA	1	MXE
1118	ENSG00000134333.13_2	LDHA	chr11	+	1.0,0.789,NA,NA,0.0,NA,NA,NA,1.0,1.0,0.985,1.0,NA	NA,0.0,NA,0.0,NA,0.534,0.053,0.0,NA,NA	1	MXE
1119	ENSG00000198780.11_1	FAM169A	chr5	-	NA,0.0,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.117,NA,NA,NA,0.0	1	MXE
1126	ENSG00000071054.16_2	MAP4K4	chr2	+	0.0,1.0,NA,NA,NA,NA,NA,NA,1.0,NA,1.0,0.0,NA	NA,NA,NA,NA,NA,0.857,0.0,1.0,1.0,0.0	1	MXE
1127	ENSG00000140612.13_1	SEC11A	chr15	-	NA,0.0,NA,NA,0.0,1.0,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,1.0,0.0,NA,NA,NA	1	MXE
1130	ENSG00000067225.17_2	PKM	chr15	-	0.455,0.898,NA,1.0,0.2,NA,NA,NA,1.0,0.0,0.695,1.0,NA	1.0,0.994,NA,NA,0.133,1.0,0.89,1.0,NA,NA	1	MXE
1131	ENSG00000033627.15_2	ATP6V0A1	chr17	+	NA,0.483,1.0,NA,1.0,0.0,NA,0.963,1.0,NA,0.281,0.0,NA	0.0,NA,NA,NA,NA,1.0,0.061,NA,1.0,1.0	1	MXE
1136	ENSG00000152256.13_2	PDK1	chr2	+	NA,NA,NA,NA,NA,0.964,0.0,NA,0.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,1.0,NA,1.0,NA,NA	1	MXE
1139	ENSG00000164253.13_2	WDR41	chr5	-	NA,0.0,NA,NA,0.0,0.0,NA,NA,1.0,NA,NA,NA,NA	NA,0.0,NA,NA,NA,NA,1.0,NA,NA,NA	1	MXE
1140	ENSG00000145016.14_2	RUBCN	chr3	-	NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.019,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA	1	MXE
1154	ENSG00000111275.12_2	ALDH2	chr12	+	0.0,0.0,NA,0.0,NA,0.538,NA,NA,NA,NA,0.0,NA,NA	1.0,NA,NA,NA,NA,NA,NA,NA,1.0,NA	1	MXE
1162	ENSG00000008838.18_2	MED24	chr17	-	0.069,1.0,1.0,NA,NA,NA,NA,0.0,NA,NA,1.0,NA,NA	NA,0.0,NA,NA,NA,0.703,NA,NA,NA,NA	1	MXE
1165	ENSG00000258644.5_2	SYNJ2BP-COX16	chr14	-	NA,1.0,NA,NA,NA,NA,NA,NA,0.0,NA,NA,0.0,NA	NA,NA,NA,NA,NA,0.031,NA,NA,NA,NA	1	MXE
1170	ENSG00000129255.15_2	MPDU1	chr17	+	0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.833,NA,NA,NA,NA	1	MXE
1171	ENSG00000074657.13_2	ZNF532	chr18	+	1.0,0.0,0.0,NA,NA,1.0,NA,NA,NA,0.0,1.0,0.0,NA	NA,NA,NA,NA,0.0,0.754,0.943,0.0,1.0,1.0	1	MXE
1175	ENSG00000133706.17_1	LARS	chr5	-	NA,0.972,NA,NA,0.0,NA,NA,1.0,0.0,NA,NA,NA,NA	0.0,0.0,NA,1.0,NA,NA,NA,1.0,1.0,NA	1	MXE
1181	ENSG00000158552.12_2	ZFAND2B	chr2	+	NA,0.0,0.0,NA,NA,NA,NA,NA,0.0,NA,1.0,NA,NA	0.0,1.0,NA,NA,NA,NA,0.0,NA,0.0,0.0	1	MXE
1182	ENSG00000133318.13_2	RTN3	chr11	+	0.66,0.703,NA,0.0,NA,NA,NA,1.0,1.0,NA,1.0,NA,NA	1.0,NA,NA,NA,NA,NA,0.079,NA,NA,NA	1	MXE
1183	ENSG00000135447.16_2	PPP1R1A	chr12	-	NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA	NA,1.0,NA,NA,NA,0.0,0.0,NA,NA,NA	1	MXE
1189	ENSG00000170271.10_2	FAXDC2	chr5	-	NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,1.0,NA	NA,NA,NA,NA,NA,0.0,0.925,NA,NA,NA	1	MXE
1220	ENSG00000095637.21_2	SORBS1	chr10	-	0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	1	MXE
1221	ENSG00000095637.21_2	SORBS1	chr10	-	0.0,1.0,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA	1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA	1	MXE
1222	ENSG00000095637.21_2	SORBS1	chr10	-	NA,0.074,NA,NA,NA,0.0,NA,0.0,NA,0.0,NA,NA,NA	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	1	MXE
1223	ENSG00000095637.21_2	SORBS1	chr10	-	NA,0.632,NA,1.0,NA,NA,NA,NA,NA,NA,1.0,NA,NA	1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	1	MXE
1224	ENSG00000095637.21_2	SORBS1	chr10	-	NA,0.119,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,1.0,NA	NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA	1	MXE
1227	ENSG00000183780.12_2	SLC35F3	chr1	+	NA,0.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	1	MXE
1228	ENSG00000163630.10_1	SYNPR	chr3	+	NA,0.776,NA,NA,NA,0.0,NA,0.0,NA,NA,NA,NA,NA	1.0,NA,NA,NA,NA,0.591,NA,0.0,NA,NA	1	MXE
1230	ENSG00000106635.7_1	BCL7B	chr7	-	NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,0.0,NA,NA	0.0,NA,NA,NA,NA,1.0,NA,NA,NA,NA	1	MXE
1233	ENSG00000039650.10_2	PNKP	chr19	-	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA	NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	1	MXE
1235	ENSG00000175582.19_1	RAB6A	chr11	-	0.0,0.177,0.0,NA,0.0,0.0,NA,NA,NA,0.0,0.0,NA,0.0	NA,0.0,NA,NA,NA,0.0,0.0,NA,NA,NA	1	MXE
1238	ENSG00000162946.20_2	DISC1	chr1	+	NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	1	MXE
1239	ENSG00000162946.20_2	DISC1	chr1	+	NA,NA,NA,0.0,NA,0.0,NA,NA,NA,NA,0.0,1.0,NA	NA,0.0,NA,NA,NA,0.0,NA,NA,NA,NA	1	MXE
1248	ENSG00000214548.14_2	MEG3	chr14	+	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.004,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0	1	MXE
1249	ENSG00000214548.14_2	MEG3	chr14	+	1.0,1.0,1.0,1.0,1.0,0.956,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1	MXE
1250	ENSG00000214548.14_2	MEG3	chr14	+	1.0,1.0,1.0,1.0,1.0,1.0,NA,0.993,0.918,1.0,1.0,1.0,1.0	1.0,1.0,NA,NA,1.0,1.0,1.0,1.0,1.0,1.0	1	MXE
1251	ENSG00000214548.14_2	MEG3	chr14	+	1.0,1.0,NA,NA,NA,NA,NA,0.0,0.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	1	MXE
