cluster	status	loglr	df	p	p.adjust	genes
chr14:clu_709_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PCNX
chr14:clu_71_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	BCL2L2-PABPN1
chr14:clu_710_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PCNX
chr14:clu_711_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PCNX
chr14:clu_712_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP6-91H8.1
chr14:clu_713_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SIPA1L1
chr14:clu_714_NA	Success	3.80940454271627	8	0.471562694462491	0.766654591245091	SIPA1L1
chr14:clu_715_NA	Success	5.85724187444066	4	0.0196056679648665	0.14652134641085	SIPA1L1
chr14:clu_716_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SIPA1L1
chr14:clu_717_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SIPA1L1
chr14:clu_718_NA	Success	0.751783386733223	2	0.471524891224702	0.766654591245091	SIPA1L1
chr14:clu_719_NA	Success	-2.67750672294187	4	1	1	SIPA1L1
chr14:clu_72_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_720_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SIPA1L1
chr14:clu_721_NA	Success	0.160306734265532	2	0.851882447350238	0.999611150355598	SIPA1L1
chr14:clu_722_NA	Success	1.21807085986529	2	0.295800257003027	0.611799033137578	SIPA1L1
chr14:clu_723_NA	Success	4.48063850828294	2	0.0113261789862782	0.107910170409039	SIPA1L1
chr14:clu_724_NA	Not enough valid samples	NA	NA	NA	NA	RGS6
chr14:clu_725_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr14:clu_726_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RGS6
chr14:clu_727_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr14:clu_728_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RGS6
chr14:clu_729_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RGS6
chr14:clu_73_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr14:clu_730_NA	Success	0.438881383392982	2	0.644757254011967	0.888780487435595	RGS6
chr14:clu_731_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RGS6
chr14:clu_732_NA	Success	5.30285106931024	4	0.0313717024703968	0.188230214822381	RGS6
chr14:clu_733_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	DCAF4
chr14:clu_734_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	DCAF4
chr14:clu_735_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	DCAF4
chr14:clu_736_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP11-109N23.4
chr14:clu_737_NA	Success	-0.365231315752908	2	1	1	RBM25
chr14:clu_738_NA	Success	1.06514182947922	1	0.144414029080925	0.428237281614156	RBM25
chr14:clu_739_NA	Success	0.109798353691971	1	0.639347379039038	0.886009206393987	RBM25
chr14:clu_74_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_740_NA	Success	1.01985528592297	2	0.360647127113028	0.673785848382845	RBM25
chr14:clu_741_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr14:clu_742_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RBM25
chr14:clu_743_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RBM25
chr14:clu_744_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RBM25
chr14:clu_745_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PSEN1
chr14:clu_746_NA	Success	0.0012606520386953	1	0.959952979770841	1	PSEN1
chr14:clu_747_NA	Success	1.28120208692474	1	0.109432052010622	0.372062674961538	NUMB
chr14:clu_748_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NUMB
chr14:clu_749_NA	Success	2.20880522576499	3	0.219758034008099	0.531198130105964	NUMB
chr14:clu_75_NA	Success	0.447390583585275	1	0.3441849372835	0.658479543007708	SLC22A17
chr14:clu_750_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	HEATR4
chr14:clu_751_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	HEATR4
chr14:clu_752_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	HEATR4,RP3-414A15.10
chr14:clu_753_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ACOT2
chr14:clu_754_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ACOT2
chr14:clu_755_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ACOT4
chr14:clu_756_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	DNAL1
chr14:clu_757_NA	Success	1.67202845904217	1	0.0674481186901469	0.288979457726145	DNAL1
chr14:clu_758_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	DNAL1
chr14:clu_759_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ELMSAN1
chr14:clu_76_NA	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chr14:clu_760_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PTGR2
chr14:clu_761_NA	Success	0.690624349889163	1	0.23988856283371	0.5539215838046	PTGR2
chr14:clu_762_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP5-1021I20.4,ZNF410
chr14:clu_763_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ZNF410,RP5-1021I20.4
chr14:clu_764_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP5-1021I20.4,ZNF410
chr14:clu_765_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP5-1021I20.4,ZNF410
chr14:clu_766_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	COQ6
chr14:clu_767_NA	Success	0.0952708334311865	1	0.662466174806956	0.89918457686873	COQ6
chr14:clu_768_NA	Not enough valid samples	NA	NA	NA	NA	COQ6
chr14:clu_769_NA	Success	4.6206793787876	1	0.0023660931822256	0.044488580088726	COQ6
chr14:clu_77_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr14:clu_770_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENTPD5
chr14:clu_771_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENTPD5
chr14:clu_772_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENTPD5
chr14:clu_773_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENTPD5
chr14:clu_774_NA	Not enough valid samples	NA	NA	NA	NA	CCDC176
chr14:clu_775_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CCDC176
chr14:clu_776_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CCDC176
chr14:clu_777_NA	Success	0.00275152011295177	1	0.940865186976978	1	ALDH6A1
chr14:clu_778_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	LIN52
chr14:clu_779_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ABCD4
chr14:clu_78_NA	Success	0.0433325156471369	1	0.768460479407045	0.960717982089824	SLC22A17
chr14:clu_780_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ABCD4
chr14:clu_781_NA	Success	0.028700807378641	2	0.971707148588144	1	ABCD4
chr14:clu_782_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NPC2,RP3-449M8.6
chr14:clu_783_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AREL1,LTBP2
chr14:clu_784_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AREL1
chr14:clu_785_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AREL1
chr14:clu_786_NA	Success	4.19532033308678	2	0.0150659155777827	0.125400760331523	AREL1
chr14:clu_787_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AREL1
chr14:clu_788_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	FCF1
chr14:clu_789_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	FCF1
chr14:clu_79_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	EFS
chr14:clu_790_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	YLPM1
chr14:clu_791_NA	Success	0.430399595485028	1	0.353515140300587	0.667995963621272	YLPM1
chr14:clu_792_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	YLPM1
chr14:clu_793_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	YLPM1
chr14:clu_794_NA	Success	13.4548513934296	2	1.4342745259346e-06	0.000326362884713081	YLPM1,RP11-316E14.6
chr14:clu_795_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	DLST
chr14:clu_796_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	DLST
chr14:clu_797_NA	Success	0.0755677751429857	1	0.697452539226217	0.920890035019922	RPS6KL1
chr14:clu_798_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RPS6KL1
chr14:clu_799_NA	Success	0.0220531416544247	1	0.833655997230079	0.994927230169069	RPS6KL1
chr14:clu_8_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CCNB1IP1
chr14:clu_80_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	EFS
chr14:clu_800_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RPS6KL1
chr14:clu_801_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TMED10
chr14:clu_802_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MLH3
chr14:clu_803_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MLH3
chr14:clu_804_NA	Success	6.60663209562858	3	0.00419738988870036	0.0613078900472003	MLH3
chr14:clu_805_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ACYP1
chr14:clu_806_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ZC2HC1C
chr14:clu_807_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NEK9
chr14:clu_808_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NEK9
chr14:clu_809_NA	Success	0.364758476642351	2	0.694364335833069	0.918661521290407	NEK9
chr14:clu_81_NA	Success	2.22019106606874	2	0.108588359291835	0.370994151889574	RP11-66N24.4,THTPA
chr14:clu_810_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	JDP2
chr14:clu_811_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	C14orf1
chr14:clu_812_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	FLVCR2,TTLL5
chr14:clu_813_NA	Not enough valid samples	NA	NA	NA	NA	TTLL5
chr14:clu_814_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TTLL5
chr14:clu_815_NA	Success	2.2904342392078	2	0.101222497531918	0.357820799230011	TTLL5
chr14:clu_816_NA	Success	1.76621890668423	2	0.170978252883961	0.46525378913012	TTLL5
chr14:clu_817_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TTLL5
chr14:clu_818_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TTLL5
chr14:clu_819_NA	Success	0.222507095075684	1	0.504712195202505	0.794618880126824	TTLL5
chr14:clu_82_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ZFHX2
chr14:clu_820_NA	Success	0.476295296520448	1	0.329060759629394	0.645440107924232	TTLL5
chr14:clu_821_NA	Success	0.00425832839323448	1	0.926471022244503	1	TTLL5
chr14:clu_822_NA	Success	0.0309204699573726	1	0.803609568802277	0.979865942628799	TTLL5,IFT43
chr14:clu_823_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TGFB3
chr14:clu_824_NA	Success	0.278229462879636	1	0.45569052412542	0.753401527425505	IFT43
chr14:clu_825_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	IFT43
chr14:clu_826_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	GPATCH2L
chr14:clu_827_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	GPATCH2L
chr14:clu_828_NA	Not enough valid samples	NA	NA	NA	NA	GPATCH2L
chr14:clu_829_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	GPATCH2L
chr14:clu_83_NA	Success	0.172853914585176	1	0.556552938502173	0.833951393189953	AP1G2
chr14:clu_830_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	VASH1
chr14:clu_831_NA	Success	-0.640933172560494	2	1	1	VASH1
chr14:clu_832_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP11-488C13.5
chr14:clu_833_NA	Error in sampler$call_sampler(c(args, dotlist)): Initialization failed.	NA	NA	NA	NA	ANGEL1
chr14:clu_834_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ANGEL1
chr14:clu_835_NA	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chr14:clu_836_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	KIAA1737,RP11-463C8.4
chr14:clu_837_NA	Success	0.21039309464777	1	0.516545011587423	0.804028934461414	KIAA1737,TMEM63C
chr14:clu_838_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ZDHHC22
chr14:clu_839_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ZDHHC22
chr14:clu_84_NA	Success	1.21759566082869	2	0.295940854403409	0.611799033137578	AP1G2
chr14:clu_840_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TMEM63C
chr14:clu_841_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TMEM63C
chr14:clu_842_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TMEM63C
chr14:clu_843_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TMEM63C
chr14:clu_844_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	POMT2
chr14:clu_845_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	POMT2
chr14:clu_846_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	POMT2
chr14:clu_847_NA	Success	4.36999556293131	3	0.0329552439755843	0.192736761200445	POMT2
chr14:clu_848_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	POMT2
chr14:clu_849_NA	Success	2.57027334693812	1	0.0233732867108548	0.160513376474732	POMT2
chr14:clu_85_NA	Not enough valid samples	NA	NA	NA	NA	AP1G2
chr14:clu_850_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TMED8
chr14:clu_851_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	VIPAS39
chr14:clu_852_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	VIPAS39
chr14:clu_853_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AHSA1
chr14:clu_854_NA	Success	1.64349651517796	1	0.0698307991745885	0.294742768711127	AHSA1
chr14:clu_855_NA	Success	0.718917463740581	1	0.230490017777114	0.544107582949252	AHSA1
chr14:clu_856_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SPTLC2
chr14:clu_857_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ALKBH1
chr14:clu_858_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SLIRP
chr14:clu_859_NA	Success	1.51775377099693	1	0.0814610702937227	0.32013418166788	SLIRP
chr14:clu_86_NA	Success	1.23736577555258	1	0.115689193968339	0.382863789904188	AP1G2
chr14:clu_860_NA	Success	0.0121007515878659	1	0.8763732953329	1	SNW1
chr14:clu_861_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ADCK1
chr14:clu_862_NA	Success	2.0355040780635	1	0.0436252298994421	0.225734756640058	ADCK1
chr14:clu_863_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ADCK1
chr14:clu_864_NA	Success	0.453202582709395	1	0.341070036725932	0.655707423259492	ADCK1
chr14:clu_865_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_866_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NRXN3
chr14:clu_867_NA	Not enough valid samples	NA	NA	NA	NA	NRXN3
chr14:clu_868_NA	Success	1.72891075433768	3	0.326273872390575	0.643286339153098	NRXN3
chr14:clu_869_NA	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chr14:clu_87_NA	Success	0.202489436949463	1	0.524529096177057	0.810261586559221	AP1G2
chr14:clu_870_NA	Success	0.253588603691696	2	0.776010984440947	0.965562592554438	NRXN3
chr14:clu_871_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NRXN3
chr14:clu_872_NA	Success	1.46202045291557	1	0.0872690683135433	0.330970010517534	NRXN3
chr14:clu_873_NA	Success	6.187095200729	2	0.0020557897449889	0.0414953253142376	NRXN3
chr14:clu_874_NA	Success	0.147517246733287	1	0.587012224782273	0.852995366752287	NRXN3
chr14:clu_875_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_876_NA	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chr14:clu_877_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_878_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NRXN3
chr14:clu_879_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_88_NA	Success	0.325174231005008	1	0.419988122850899	0.726491531742909	AP1G2
chr14:clu_880_NA	Success	0.635745037061497	2	0.529540813780405	0.813756583780425	NRXN3
chr14:clu_881_NA	Success	4.89776257472931	7	0.200460034802085	0.507511168727063	NRXN3
chr14:clu_882_NA	Success	0.334775989371124	1	0.413207851232726	0.721875766734136	DIO2
chr14:clu_883_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CEP128
chr14:clu_884_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CEP128
chr14:clu_885_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CEP128
chr14:clu_886_NA	Success	0.140412923235417	1	0.59616043797534	0.85888682242682	CEP128
chr14:clu_887_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	GTF2A1
chr14:clu_888_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	STON2
chr14:clu_889_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SEL1L
chr14:clu_89_NA	Success	1.11908299053982	2	0.326579133508692	0.643424125716616	AP1G2
chr14:clu_890_NA	Success	0.742899190514663	1	0.222869510798974	0.535240246139425	SEL1L
chr14:clu_891_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SEL1L
chr14:clu_892_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SEL1L
chr14:clu_893_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SEL1L
chr14:clu_894_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr14:clu_895_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr14:clu_896_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr14:clu_897_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP11-406A9.2
chr14:clu_898_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RP11-406A9.2
chr14:clu_899_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr14:clu_9_NA	Success	0.298545402264295	1	0.439690173666386	0.741272852243735	CCNB1IP1
chr14:clu_90_NA	Success	0.616835828607805	1	0.266694174686984	0.581755554721347	AP1G2
chr14:clu_900_NA	Success	0.0428009164472201	1	0.769844801208052	0.96162583944519	FLRT2
chr14:clu_901_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RP11-736P16.1
chr14:clu_902_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP11-594C13.1
chr14:clu_903_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP11-594C13.1
chr14:clu_904_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP11-1152H15.1
chr14:clu_905_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RP11-1152H15.1
chr14:clu_906_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP11-1152H15.1,GALC
chr14:clu_907_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	GALC
chr14:clu_908_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	GALC
chr14:clu_909_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	KCNK10
chr14:clu_91_NA	Success	2.87033978896682	1	0.0165763777466572	0.132881105521065	AP1G2
chr14:clu_910_NA	Success	2.18855839958201	2	0.112078204198171	0.376613385080251	SPATA7
chr14:clu_911_NA	Success	1.2827932592777	2	0.277261753839798	0.593655558078311	SPATA7
chr14:clu_912_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SPATA7
chr14:clu_913_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PTPN21
chr14:clu_914_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PTPN21
chr14:clu_915_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ZC3H14
chr14:clu_916_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ZC3H14
chr14:clu_917_NA	Success	-1.05439261368747	5	1	1	ZC3H14
chr14:clu_918_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ZC3H14
chr14:clu_919_NA	Success	0.429258900687159	1	0.354153806961143	0.668355326564654	ZC3H14
chr14:clu_92_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr14:clu_920_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	EML5
chr14:clu_921_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	EML5
chr14:clu_922_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	EML5
chr14:clu_923_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	EML5
chr14:clu_924_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	EML5
chr14:clu_925_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	EML5
chr14:clu_926_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	EML5
chr14:clu_927_NA	Success	-0.616329671579138	2	1	1	EML5
chr14:clu_928_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	EML5
chr14:clu_929_NA	Success	0.00127281329673679	1	0.959760443657821	1	EML5
chr14:clu_93_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr14:clu_930_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	EML5
chr14:clu_931_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TTC8
chr14:clu_932_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TTC8
chr14:clu_933_NA	Success	0.165662398628626	1	0.564880038801255	0.839393473920211	TTC8
chr14:clu_934_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TTC8
chr14:clu_935_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TTC8
chr14:clu_936_NA	Success	6.37543720699784	1	0.000355842767411245	0.0139594398591096	TTC8
chr14:clu_937_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	FOXN3
chr14:clu_938_NA	Success	1.08247117611927	1	0.141189917758322	0.423042707779416	FOXN3
chr14:clu_939_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_94_NA	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chr14:clu_940_NA	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chr14:clu_941_NA	Success	5.00334201898177	1	0.00155973101124868	0.0354960629670027	FOXN3,RP11-33N16.3
chr14:clu_942_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	FOXN3
chr14:clu_943_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	EFCAB11
chr14:clu_944_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	EFCAB11,RP11-33N16.3
chr14:clu_945_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TDP1
chr14:clu_946_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TDP1
chr14:clu_947_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_948_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NRDE2
chr14:clu_949_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NRDE2
chr14:clu_95_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr14:clu_950_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NRDE2
chr14:clu_951_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NRDE2
chr14:clu_952_NA	Success	0.0201975599176762	1	0.840710011985295	0.997097611643468	CALM1
chr14:clu_953_NA	Success	1.00547677277416	2	0.365870156284623	0.678529061504981	CALM1
chr14:clu_954_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CALM1
chr14:clu_955_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CALM1
chr14:clu_956_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_957_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CALM1
chr14:clu_958_NA	Success	0.0196867914943368	1	0.842710385994469	0.997511337074603	TTC7B
chr14:clu_959_NA	Success	0.997645658739202	3	0.573384584180346	0.844731774173615	TTC7B
chr14:clu_96_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	JPH4
chr14:clu_960_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TTC7B
chr14:clu_961_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TTC7B
chr14:clu_962_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TTC7B
chr14:clu_963_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TTC7B
chr14:clu_964_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TTC7B
