cluster	status	loglr	df	p	p.adjust	genes
chr14:clu_346_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ZC3H14
chr14:clu_347_NA	Not enough valid samples	NA	NA	NA	NA	ZC3H14
chr14:clu_348_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	EML5
chr14:clu_349_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TTC8
chr14:clu_35_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_350_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	FOXN3
chr14:clu_351_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	FOXN3,RP11-33N16.3
chr14:clu_352_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NRDE2
chr14:clu_353_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NRDE2
chr14:clu_354_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CALM1
chr14:clu_355_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CALM1
chr14:clu_356_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TTC7B
chr14:clu_357_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TTC7B
chr14:clu_358_NA	Not enough valid samples	NA	NA	NA	NA	TTC7B
chr14:clu_359_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RPS6KA5
chr14:clu_36_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SLC22A17
chr14:clu_360_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	C14orf159
chr14:clu_361_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	C14orf159
chr14:clu_362_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SMEK1
chr14:clu_363_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SMEK1
chr14:clu_364_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SMEK1
chr14:clu_365_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SMEK1
chr14:clu_366_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TRIP11
chr14:clu_367_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TRIP11
chr14:clu_368_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NDUFB1
chr14:clu_369_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	LGMN
chr14:clu_37_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	EFS
chr14:clu_370_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	LGMN
chr14:clu_371_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	GOLGA5
chr14:clu_372_NA	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chr14:clu_373_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ITPK1
chr14:clu_374_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ITPK1
chr14:clu_375_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP11-371E8.4,UBR7
chr14:clu_376_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UNC79
chr14:clu_377_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UNC79
chr14:clu_378_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UNC79
chr14:clu_379_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	UNC79
chr14:clu_38_NA	Success	13.5965969145691	1	1.84105653069293e-07	6.28273675572138e-06	CMTM5
chr14:clu_380_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UNC79
chr14:clu_381_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UNC79
chr14:clu_382_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UNC79
chr14:clu_383_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	DDX24
chr14:clu_384_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PPP4R4
chr14:clu_385_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PPP4R4
chr14:clu_386_NA	Success	-0.00698361080242194	1	1	1	PPP4R4
chr14:clu_387_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	DICER1
chr14:clu_388_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	DICER1
chr14:clu_389_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CLMN
chr14:clu_39_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP11-66N24.4,THTPA
chr14:clu_390_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SNHG10
chr14:clu_391_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ATG2B
chr14:clu_392_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ATG2B
chr14:clu_393_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ATG2B
chr14:clu_394_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PAPOLA
chr14:clu_395_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PAPOLA
chr14:clu_396_NA	Not enough valid samples	NA	NA	NA	NA	PAPOLA
chr14:clu_397_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	VRK1
chr14:clu_398_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	BCL11B
chr14:clu_399_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CCNK
chr14:clu_4_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TMEM55B
chr14:clu_40_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AP1G2
chr14:clu_400_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	HHIPL1
chr14:clu_401_NA	Success	0.834265189403027	1	0.196455493768514	0.431515098649601	CYP46A1
chr14:clu_402_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CYP46A1
chr14:clu_403_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	EML1
chr14:clu_404_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	EML1
chr14:clu_405_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	EVL
chr14:clu_406_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	EVL
chr14:clu_407_NA	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chr14:clu_408_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	WARS
chr14:clu_409_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	BEGAIN
chr14:clu_41_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AP1G2
chr14:clu_410_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_411_NA	Success	3.61363062421879	4	0.124354922569899	0.313626401635539	MEG3
chr14:clu_412_NA	Success	1.00722037236346	1	0.155808671465918	0.362603513879017	MEG3
chr14:clu_413_NA	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chr14:clu_414_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MEG8
chr14:clu_415_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AL132709.5
chr14:clu_416_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AL132709.5
chr14:clu_417_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AL132709.5
chr14:clu_418_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AL132709.5
chr14:clu_419_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AL132709.5
chr14:clu_42_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AP1G2
chr14:clu_420_NA	Success	1.14610193377416	2	0.317873449239689	0.579971115122638	PPP2R5C
chr14:clu_421_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PPP2R5C
chr14:clu_422_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	DYNC1H1
chr14:clu_423_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	DYNC1H1
chr14:clu_424_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	HSP90AA1
chr14:clu_425_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	HSP90AA1
chr14:clu_426_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MOK
chr14:clu_427_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MOK
chr14:clu_428_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TECPR2
chr14:clu_429_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ANKRD9
chr14:clu_43_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AP1G2
chr14:clu_430_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TRAF3
chr14:clu_431_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CDC42BPB
chr14:clu_432_NA	Success	1.05430760866466	1	0.146471810129547	0.344374173713205	CDC42BPB
chr14:clu_433_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CDC42BPB
chr14:clu_434_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	EIF5
chr14:clu_435_NA	Success	1.5021380219888	1	0.083045068940806	0.244438570532707	MARK3
chr14:clu_436_NA	Success	19.372821592157	1	4.82786624790246e-10	7.89700979121188e-08	MARK3
chr14:clu_437_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MARK3
chr14:clu_438_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MARK3
chr14:clu_439_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MARK3
chr14:clu_44_NA	Success	4.11483527245924	1	0.00412110101779501	0.0259267069526115	AP1G2
chr14:clu_440_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CKB
chr14:clu_441_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CKB
chr14:clu_442_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CKB
chr14:clu_443_NA	Not enough valid samples	NA	NA	NA	NA	RP11-73M18.2,APOPT1
chr14:clu_444_NA	Success	1.73079968829006	1	0.0628095337045735	0.199769211365935	KLC1
chr14:clu_445_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	KLC1
chr14:clu_446_NA	Success	16.9114131394479	1	6.03664028356254e-09	6.91195312467911e-07	KLC1,RP11-73M18.2
chr14:clu_447_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ZFYVE21
chr14:clu_448_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PPP1R13B
chr14:clu_449_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PPP1R13B
chr14:clu_45_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AP1G2
chr14:clu_450_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PPP1R13B
chr14:clu_451_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PPP1R13B
chr14:clu_452_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TDRD9
chr14:clu_453_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	INF2
chr14:clu_454_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CEP170B
chr14:clu_455_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CEP170B
chr14:clu_456_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CEP170B
chr14:clu_457_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PLD4
chr14:clu_458_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PLD4
chr14:clu_459_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	C14orf79
chr14:clu_46_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	LRRC16B
chr14:clu_460_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	BRF1
chr14:clu_461_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PACS2
chr14:clu_462_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PACS2
chr14:clu_463_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PACS2
chr14:clu_464_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PACS2
chr14:clu_465_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PACS2
chr14:clu_466_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MTA1
chr14:clu_47_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	LRRC16B
chr14:clu_48_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	LRRC16B
chr14:clu_49_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	EMC9
chr14:clu_5_NA	Success	1.1161818038787	1	0.135146965512445	0.327152802350421	RNASE1
chr14:clu_50_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	REC8
chr14:clu_51_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CHMP4A,TM9SF1
chr14:clu_52_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TM9SF1,CHMP4A,AL136419.6
chr14:clu_53_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NEDD8,NEDD8-MDP1
chr14:clu_54_NA	Success	3.74993593319277	1	0.0061703383098808	0.035502700325696	NEDD8-MDP1,NEDD8
chr14:clu_55_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TINF2
chr14:clu_56_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NFATC4
chr14:clu_57_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SDR39U1
chr14:clu_58_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	STXBP6
chr14:clu_59_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NOVA1
chr14:clu_6_NA	Success	1.40295756432306	1	0.0939172410342823	0.262922349594751	NDRG2
chr14:clu_60_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NOVA1
chr14:clu_61_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NOVA1
chr14:clu_62_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP11-966I7.1
chr14:clu_63_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP11-966I7.1
chr14:clu_64_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	C14orf23,FOXG1
chr14:clu_65_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PRKD1
chr14:clu_66_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	G2E3
chr14:clu_67_NA	<=1 sample with coverage>0	NA	NA	NA	NA	G2E3
chr14:clu_68_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SCFD1
chr14:clu_69_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	STRN3
chr14:clu_7_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NDRG2
chr14:clu_70_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	HECTD1
chr14:clu_71_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	HECTD1
chr14:clu_72_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	HECTD1
chr14:clu_73_NA	Not enough valid samples	NA	NA	NA	NA	HECTD1
chr14:clu_74_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	HEATR5A
chr14:clu_75_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	HEATR5A
chr14:clu_76_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	HEATR5A
chr14:clu_77_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	HEATR5A
chr14:clu_78_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NUBPL
chr14:clu_79_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ARHGAP5
chr14:clu_8_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NDRG2
chr14:clu_80_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ARHGAP5
chr14:clu_81_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AKAP6
chr14:clu_82_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AKAP6
chr14:clu_83_NA	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chr14:clu_84_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NPAS3
chr14:clu_85_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NPAS3
chr14:clu_86_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NPAS3
chr14:clu_87_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SNX6
chr14:clu_88_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CFL2
chr14:clu_89_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CFL2
chr14:clu_9_NA	Success	0.547186870746373	2	0.57857512981491	0.831202664539613	NDRG2
chr14:clu_90_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	BAZ1A
chr14:clu_91_NA	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chr14:clu_92_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP11-85K15.2
chr14:clu_93_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RP11-85K15.2
chr14:clu_94_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP11-85K15.2
chr14:clu_95_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SRP54
chr14:clu_96_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PPP2R3C
chr14:clu_97_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	KIAA0391
chr14:clu_98_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	KIAA0391,PSMA6
chr14:clu_99_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RALGAPA1
chr15:clu_3022_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr15:clu_3023_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	HERC2P3
chr15:clu_3024_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	HERC2P3
chr15:clu_3025_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	HERC2P3
chr15:clu_3026_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	HERC2P3
chr15:clu_3027_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TUBGCP5
chr15:clu_3028_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CYFIP1
chr15:clu_3029_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NIPA1
chr15:clu_3030_NA	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chr15:clu_3031_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	WHAMMP3
chr15:clu_3032_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	HERC2P2
chr15:clu_3033_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	HERC2P2
chr15:clu_3034_NA	Success	1.92252715088239	1	0.0498929060527352	0.168818794435446	HERC2P2
chr15:clu_3035_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	HERC2P2
chr15:clu_3036_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	HERC2P2
chr15:clu_3037_NA	<=1 sample with coverage>0	NA	NA	NA	NA	MKRN3
chr15:clu_3038_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr15:clu_3039_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr15:clu_3040_NA	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chr15:clu_3041_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SNRPN
chr15:clu_3042_NA	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chr15:clu_3043_NA	Success	0.842194343325104	1	0.194342318496733	0.429579063086409	SNRPN,SNURF
chr15:clu_3044_NA	Success	1.76115531985943	2	0.171846211750602	0.38963150981077	SNRPN,SNURF,SNHG14
chr15:clu_3045_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SNRPN
chr15:clu_3046_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SNHG14
chr15:clu_3047_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SNHG14
chr15:clu_3048_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SNHG14
chr15:clu_3049_NA	Success	-0.0103595495847912	1	1	1	SNHG14
chr15:clu_3050_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SNHG14
chr15:clu_3051_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SNHG14
chr15:clu_3052_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SNHG14
chr15:clu_3053_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SNHG14
chr15:clu_3054_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SNHG14
chr15:clu_3055_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SNHG14
chr15:clu_3056_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SNHG14
chr15:clu_3057_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SNHG14
chr15:clu_3058_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SNHG14
chr15:clu_3059_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SNHG14
chr15:clu_3060_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SNHG14
chr15:clu_3061_NA	Not enough valid samples	NA	NA	NA	NA	SNHG14
chr15:clu_3062_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SNHG14
chr15:clu_3063_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SNHG14
chr15:clu_3064_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SNHG14
chr15:clu_3065_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SNHG14
chr15:clu_3066_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SNHG14
chr15:clu_3067_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SNHG14
chr15:clu_3068_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SNHG14
chr15:clu_3069_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr15:clu_3070_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UBE3A
chr15:clu_3071_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	GABRB3
chr15:clu_3072_NA	<=1 sample with coverage>0	NA	NA	NA	NA	GABRA5
chr15:clu_3073_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	HERC2
chr15:clu_3074_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	HERC2P9
chr15:clu_3075_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	HERC2P9
chr15:clu_3076_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RP11-578F21.12
chr15:clu_3077_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	APBA2
chr15:clu_3078_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	APBA2
chr15:clu_3079_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	APBA2
chr15:clu_3080_NA	<=1 sample with coverage>0	NA	NA	NA	NA	FAM189A1
chr15:clu_3081_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	FAM189A1
chr15:clu_3082_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TJP1
chr15:clu_3083_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TJP1
chr15:clu_3084_NA	Success	1.52637915568403	1	0.0806001472565968	0.239706931451437	TJP1
chr15:clu_3085_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TJP1
chr15:clu_3086_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TJP1
chr15:clu_3087_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	HERC2P10
chr15:clu_3088_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	FAN1
chr15:clu_3089_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	FAN1
chr15:clu_3090_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	FAN1
chr15:clu_3091_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	FAN1
chr15:clu_3092_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MTMR10
chr15:clu_3093_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	KLF13
chr15:clu_3094_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	OTUD7A
chr15:clu_3095_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CHRNA7
chr15:clu_3096_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP11-632K20.7
chr15:clu_3097_NA	Success	0.356473556626383	1	0.398467174448146	0.667594036019701	SCG5
chr15:clu_3098_NA	Success	0.0809987077902861	1	0.687324163499372	0.926834555575555	SCG5
chr15:clu_3099_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	FMN1
chr15:clu_3100_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	FMN1
chr15:clu_3101_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	FMN1
chr15:clu_3102_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RYR3
chr15:clu_3103_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RYR3
chr15:clu_3104_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RYR3
chr15:clu_3105_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RYR3
chr15:clu_3106_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RYR3
chr15:clu_3107_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RYR3
